serialNumber,Title English,Title Urdu,Arabic,Urdu,English,Benefits,Description,
1,Dua Before Meals,کھانے سے پہلے کی دعا ,بِسْمِ اللّٰہِ وَعَلٰی بَرَكَةِ اللّٰہِ,میں نے الله کے نام کے ساتھ اور الله کی برکت پر کھانا شروع کیا ,In the name of Allah and with the blessings of Allah I begin (eating),Benefits of Reading Dua Before Meals (Khane Se Pehle ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua Before Meals(Khane Se Pehle ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua Before Meals(Khane Se Pehle ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua Before Meals(Khane Se Pehle ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua Before Meals",
2,Dua After Eating,کھانے کے بعد کی دعا,الْحَمْدُ لِلَّهِ الَّذِي أَطْعَمَنَا وَسَقَانَا وَجَعَلَنَا مِنَ الْمُسْلِمِينَ,اللہ عزوجل کا شکر ہے جس نے ہمیں کھلایا پلایا اور مسلمانوں میں سے بنایا۔,Thanks to Allah Azzawajal who fed us and made us among Muslims,Benefits of Reading Dua After Eating (Khane Ke Baad Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua After Eating(Khane Ke Baad Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua After Eating(Khane Ke Baad Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua After Eating(Khane Ke Baad Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua After Eating",
3,Dua Before Sleeping,سوتے وقت کی دعا,اَللّٰھُمَّ بِاسْمِكَ أَمُوتُ وَأَحْيَا,الٰہی عزوجل میں تیرے نام پر مرتا ہوں اور جیتا ہوں۔,O Allah (Almighty) I live and die in your name.,Benefits of Reading Dua Before Sleeping (Sote Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua Before Sleeping(Sote Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua Before Sleeping(Sote Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua Before Sleeping(Sote Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua Before Sleeping",
4,Dua When Waking UP from Sleep,نیند سے بیدار ہونے کی دعا,الْحَمْدُ لِلّٰہِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,تمام تعریفیں اللہ عزوجل کے لئے جس نے ہمیں موت (نیند) کے بعد حیات (بیداری) عطا فرمائی اور ہمیں اسی طرف لوٹنا ہے۔,All Praise onto Allah (Almighty) Who granted us life after death (Sleep) and we are return to him.,Benefits of Reading Dua When Waking UP from Sleep (Neend Se Bedar Hone Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Waking UP from Sleep(Neend Se Bedar Hone Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Waking UP from Sleep(Neend Se Bedar Hone Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Waking UP from Sleep(Neend Se Bedar Hone Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Waking UP from Sleep",
5,Dua When Entering The Home,گھر میں داخل ہوتے وقت کی دعا,اَللّٰھُمَّ اِنِّیْ اَسْئَلُكَ خَیْرَالْمَوْلَجِ وَخَیْرَالْمَخْرَجِ,اے اللہ عَزَّ وَجَلَّ ! میں تجھ سے داخل ہونے اور نکلنے کی جگہوں کی بھلائی طلب کرتا ہوں ۔,O Allah(عَزَّ وَجَلَّ)! I ask you for the goodness of the places of entering and exiting.,Benefits of Reading Dua When Entering The Home (Ghar Main Dakhil Hoty Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Entering The Home(Ghar Main Dakhil Hoty Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Entering The Home(Ghar Main Dakhil Hoty Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Entering The Home(Ghar Main Dakhil Hoty Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Entering The Home",
6,Dua When Leaving The House,گھر سے نکلتے وقت کی دعا,بِسْمِ اللّٰہِ تَوَكَّلْتُ عَلَى اللّٰہِ وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللّٰہِ,اللہ عزوجل کے نام سے (گھر سے نکلتا ہوں) میں نے اللہ عزوجل پر بھروسہ کیا اللہ عزوجل کے بغیر نہ طاقت ہے (گناہوں سے بچنےکی) اور نہ وقت ہے (نیکیاں کرنے کی)۔,"In the name of Allah Almighty (I comeout of my house) I trust Allah Almighty, there is no capability of saving oneself from sins and neither is there capability to do good deeds but from Allah Almighty.",Benefits of Reading Dua When Leaving The House (Ghar Se Nikalte Waqt ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Leaving The House(Ghar Se Nikalte Waqt ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Leaving The House(Ghar Se Nikalte Waqt ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Leaving The House(Ghar Se Nikalte Waqt ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Leaving The House",
7,Dua When Entering the Mosque,مسجد میں داخل ہونے کی دعا,اَللّٰهُمَّ افْتَحْ لِيْ اَبْوَابَ رَحْمَتِکَ.,’’اے اللہ! میرے لیے رحمت کے دروازے کھول دے۔‘‘,Oh Allah! Open the doors for me of your Blessings.,Benefits of Reading Dua When Entering the Mosque (Masjid Ma Dakhil Hone Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Entering the Mosque(Masjid Ma Dakhil Hone Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Entering the Mosque(Masjid Ma Dakhil Hone Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Entering the Mosque(Masjid Ma Dakhil Hone Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Entering the Mosque",
8,Dua When Leaving the Mosque,مسجد سے نکلنے کی دعا,اَللّٰهُمَّ اِنِّيْ اَسْاَلُکَ مِنْ فَضْلِکَ وَرَحْمَتِکَ,’’اے اللہ! میں تجھ سے تیرا فضل اور تیری رحمت مانگتا ہوں۔‘‘,Oh Allah! I ask you of your Favour,Benefits of Reading Dua When Leaving the Mosque (Masjid Se Nikalne Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Leaving the Mosque(Masjid Se Nikalne Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Leaving the Mosque(Masjid Se Nikalne Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Leaving the Mosque(Masjid Se Nikalne Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Leaving the Mosque",
9,Dua for Traveling &amp; Journey,سفر اور سواری کی دعا,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَـٰذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ وَإِنَّا إِلَىٰ رَبِّنَا لَمُنقَلِبُونَ,اللہ عزوجل کا شکر ہے، پاک ہے وہ جس نے ہمارے لئے اس(سواری کو) مسخر کیا اور ہم اس کو فرمانبردار نہیں بنا سکتے تھے۔,"Thanks to Allah Azzawajal. Pure is he who subdude this, other wise we could not make this obedient.",Benefits of Reading Dua for Traveling &amp; Journey (Safar Aur Sawari Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua for Traveling & Journey(Safar Aur Sawari Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua for Traveling & Journey(Safar Aur Sawari Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua for Traveling & Journey(Safar Aur Sawari Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua for Traveling &amp; Journey",
10,Dua When Entering the Market (Bazaar),بازار میں داخل ہوتے وقت کی دعا,لَا إِلٰهَ إِلَّا اللّٰہُ وَحْدَهٗ لَا شَرِيكَ لَهٗ ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ يُحْيِي وَيُمِيتُ وَهُوَ حَيٌّ لَا يَمُوتُ بِيَدِهِ الْخَيْرُ وَهُوَ عَلٰی كُلِّ شَيْءٍ قَدِيرٍ,اللہ عزوجل کے سوا کوئی معبود نہین، وہ یکتا ہے، اس کا کوئی شریک نہیں، اس کی بادشاہت ہے اور اسی کے لئے حمد ہے وہی جلاتا اور مارتا ہےوہ (ایسا) زندہ ہے جسے موت نہیں، تمام بھلائیاں اسی کے دست قدرت میں ہیں اور وہ ہر چیز پر قادر ہے۔,"There is no deity except Allah Azzawajal he is unique, He has no partner, His is the kingship, and for him is praise, he brings to lie and he kills, He is alive(as such death will not come to him. All virtues are in his hand of power, He can do what ever he wants.",Benefits of Reading Dua When Entering the Market (Bazaar) (Bazaar Mein Dakhil Hote Waqt Ki Dua)," Dua is an Arabic word that means to summon or to call out. It is also known as pray, supplication, or invocation. It has great importance in Islam. According to one hadith of Prophet Muhammad (Peace Be Upon Him), dua is the essence of worship. When a person prays to Allah with a true heart, it strengthens his/her belief. The
 Dua When Entering the Market (Bazaar)(Bazaar Mein Dakhil Hote Waqt Ki Dua) is also very beneficial. 
 Dua is among one of the most powerful and effective acts of worship. It gives the feeling of connection with Allah in any place at any time. Muslims call on Allah several times throughout the day and night. Throughout the Holy Quran, Allah encourages people to call on him as he is the only one who can lay our uncertainties, hopes, dreams, and fears. It does not just enhance the feeling of closeness with Allah, but also raises faith and offers relief and hope to believers.
 
 There is a dua for almost every act in Islam. The Holy Prophet Muhammad (Peace Be Upon Him) taught the dua to his Ummah for different matters such as safety, family, food, travel, sickness, dressing, etc. However, the
 Dua When Entering the Market (Bazaar)(Bazaar Mein Dakhil Hote Waqt Ki Dua) is among the key supplications.
 
 Being Muslim we should memorize duas including the
 Dua When Entering the Market (Bazaar)(Bazaar Mein Dakhil Hote Waqt Ki Dua). It will not just save us from any harm but will enlighten our lives with different blessings. Here, you can easily read this dua and can share it with your friends and family members. You can also read other supplications on their respective pages.""Dua When Entering the Market (Bazaar)",
